SchoolID,Classroom.Shortage,Total.Total.Seat,Total.Seats.Shortage,Building Count_Condemned / For Demolition,Building Count_For Completion,Building Count_For Condemnation,Building Count_Good Condition,Building Count_Needs Major Repair,Building Count_Needs Minor Repair,Building Count_On-going Construction,Number of Rooms_Condemned / For Demolition,Number of Rooms_For Completion,Number of Rooms_For Condemnation,Number of Rooms_Good Condition,Number of Rooms_Needs Major Repair,Number of Rooms_Needs Minor Repair,Number of Rooms_On-going Construction,ALS-CLC_2024_Allocation,ELECTRIFICATION 2017,ELECTRIFICATION 2018,ELECTRIFICATION 2019,ELECTRIFICATION 2020,ELECTRIFICATION 2023,ELECTRIFICATION 2024,GABALDON 2020,GABALDON 2021,GABALDON 2022,GABALDON 2023,GABALDON 2024,SCHOOL HEALTH FACILITIES 2022,SCHOOL HEALTH FACILITIES 2024,LibHub 2024,LMS 2020,LMS 2021,LMS 2022,LMS 2023,LMS 2024,NC 2014,NC 2015,NC 2016,NC 2017,NC 2018,NC 2019,NC 2020,NC 2021,NC 2023,NC 2024,QRF 2019,QRF 2020,QRF 2021,QRF 2022,QRF 2022 REPLENISHMENT,QRF 2023,QRF 2024,REPAIR 2020,REPAIR 2021,REPAIR 2022,REPAIR 2023,REPAIR 2024,SPED-ILRC 2024,With_Buildable_space,Buildable_space Remarks,Site Ownership,Site Ownership Remarks,Geotechnical Testing,Geotechnical Testing Remarks,LMS.School,Lat,Long
134342,10,566,185,,,1,1,4,4,,,,1,1,8,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,swamp soil,0,,
134343,13,"1,281",0,,,1,,2,6,,,,3,,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,swamp soil,0,,
134344,12,60,313,,,,,2,,,,,,,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,swamp soil,0,,
134345,9,76,313,,,,,,2,,,,,,,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,0,0,,
134346,13,388,520,,,,,,7,,,,,,,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,needs CL demolition,Others,usufruct,0,0,0,,
134347,6,24,375,,,,,3,1,,,,,,7,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,0,0,,
134348,11,273,556,,,,4,4,1,,,,,10,7,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,0,0,,
134349,2,400,0,,,1,,1,6,,,,2,,1,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
134350,3,"2,075",0,,,,6,5,1,,,,,12,19,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,With title (TCT/OCT/Special Patent),0,0,0,0,,
134351,5,55,230,,,,,,2,,,,,,,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Others,usufruct,0,0,0,,
134353,11,"1,357",0,,,2,4,2,,,,,9,9,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,0,0,,
134354,4,229,127,,,,1,5,1,,,,,2,8,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,0,0,,
134355,7,882,0,,,,,,7,,,,,,,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,0,0,,
134356,21,904,446,,,,2,2,7,,,,,3,2,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,0,0,,
134358,1,100,0,,,,,,2,,,,,,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
134359,4,70,24,,,,,,1,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
134360,7,360,224,,,,,2,,,,,,,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,sandy soil,0,,
134361,0,631,0,,,2,,4,2,,,,10,,11,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Others,usufruct,0,swamp soil,0,,
134362,7,497,161,,,,,5,,,,,,,13,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,swamp soil,0,,
134363,3,126,28,,,,,2,1,,,,,,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,needs CL demolition,Others,private property,0,0,0,,
134364,3,36,24,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
134365,6,40,107,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
134367,3,8,28,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
134369,6,107,107,,,,,,1,,,,,,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
134370,14,60,563,,,1,,1,,,,,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 4 CL but need CL Demolition,---,DOD on Process,0,0,0,,
134371,7,182,168,,,,,2,1,,,,,,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,---,DOD on process,0,0,0,,
134372,11,194,179,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
217050,23,,879,,,,,1,3,,,,,,2,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Stoey 4 CL,Others,private property,0,swamp soil,0,,
134442,0,,174,,,,1,2,3,,,,,1,5,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,Deed of Donation,0,0,0,0,,
134443,2,32,55,,,,,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,Deed of Donation,0,0,0,0,,
